TierID,LevelID,AreaID,Enabled,EnemyIDs,TicketCost,XPClanReward,XPPlayerReward,WildCardPlayerReward,CardPlayerReward,ScrollPlayerReward,FortuneScrollPlayerReward,HolidayCurrencyPerAttack,AttacksPerReset,BaseHP,TitanCount,HasArmor,AreaBonuses,EnemyBonuses,EnchantedArmour,BattleScarEffect,BucketsOfDamage,TotalHP
1,1,Area1,TRUE,"Enemy5,Enemy2",0,33,25,16,6,1,0,5,3,4.60E+05,3,FALSE,0,0,0,1,0,1.38E+06
1,2,Area2,TRUE,"Enemy5,Enemy3",0,36,30,24,12,1,0,5,3,5.68E+05,4,FALSE,0,0,0,1,0,2.27E+06
1,3,Area3,TRUE,"Enemy2,Enemy3",0,41,50,24,18,1,0,5,3,8.42E+05,5,FALSE,0,0,0,1,0,4.21E+06
1,4,Area4,TRUE,"Enemy5,Enemy2",0,43,75,24,24,2,0,5,3,1.20E+06,6,FALSE,0,0,0,1,0,7.18E+06
1,5,Area1,TRUE,"Enemy5,Enemy3",0,51,85,50,30,2,0,5,3,2.88E+06,4,FALSE,0,0,0,1,0,1.15E+07
1,6,Area2,TRUE,"Enemy5,Enemy2",0,56,95,50,36,2,1,5,3,3.50E+06,5,FALSE,0,0,0,1,0,1.75E+07
1,7,Area3,TRUE,"Enemy2,Enemy3",0,68,105,80,42,2,1,5,3,7.43E+06,3,FALSE,0,0,0,1,0,2.23E+07
1,8,Area4,TRUE,"Enemy5,Enemy3",0,74,115,80,48,3,1,5,3,7.03E+06,4,FALSE,0,0,0,1,0,2.81E+07
1,9,Area1,TRUE,"Enemy5,Enemy2",0,84,125,110,54,3,1,5,3,4.36E+06,8,FALSE,0,0,0,1,0,3.49E+07
1,10,Area2,TRUE,"Enemy5,Enemy2,Enemy3",0,92,135,110,60,4,1,5,3,5.35E+06,8,FALSE,0,0,0,1,0,4.28E+07
